sku,product_name,price,local_image_filename
10836,SELLEYS PAINT OVER SILICONE SEALANT 410G WHITE,MVR 130.00,scraped_images_veligaa\10836.jpg
10839,SELLEYS ROOF & GUTTER SPRAY SEAL  315G,MVR 495.00,scraped_images_veligaa\10839.jpg
12613,SELLEYS ARMOURFLEX SEALANT 465G,MVR 235.00,scraped_images_veligaa\12613.jpg
12615,SELLEYS SOLARFLEX SEALANT 445G,MVR 235.00,scraped_images_veligaa\12615.jpg
12617,SELLEYS AUTOFIX MARINE SEALANT 310G TRANSLUCENT,MVR 190.00,scraped_images_veligaa\12617.jpg
12618,SELLEYS FLAMEFLEX SEALANT 435G GREY,MVR 200.00,scraped_images_veligaa\12618.jpg
13191,SELLEYS AQUAFIX UNDERWATER EPOXY ADHESIVE 24ML,MVR 75.00,scraped_images_veligaa\13191.jpg
13932,SELLEYS KNEAD IT MULTIPURPOSE 110G,MVR 105.00,scraped_images_veligaa\13932.jpg
13934,SELLEYS KNEAD IT AQUA (UNDERWATER) 110G,MVR 105.00,scraped_images_veligaa\13934.jpg
14787,SELLEYS SPECIAL PUTTY,MVR 270.00,scraped_images_veligaa\14787.jpg
14757,SELLEYS POWER GRIP 10G GEL,MVR 105.00,scraped_images_veligaa\14757.jpg
14758,SELLEYS ALL PLASTICS FIX 3ML,MVR 175.00,scraped_images_veligaa\14758.jpg
14759,SELLEYS FIREPROOF CEMENT 850G WHITE,MVR 190.00,scraped_images_veligaa\14759.jpg
14760,SELLEYS LIQUID NAILS CLEAR 250G HIGH STRENGTH,MVR 175.00,scraped_images_veligaa\14760.jpg
14761,SELLEYS LIQUID NAILS CLEAR 80G TUBE HIGH STRENGTH,MVR 90.00,scraped_images_veligaa\14761.jpg
14762,SELLEYS HOLD UP 290ML,MVR 270.00,scraped_images_veligaa\14762.jpg
14763,SELLEYS MARINE FLEX SEALANT 410G WHITE,MVR 295.00,scraped_images_veligaa\14763.jpg
14764,SELLEYS AQUADHERE INTERIOR WOOD GLUE,MVR 65.00,scraped_images_veligaa\14764.jpg
14770,SELLEYS AQUADHERE EXTERIOR WOOD GLUE 250ML,MVR 80.00,scraped_images_veligaa\14770.jpg
14774,SELLEYS LIQUID NAILS RAPID CURE 325G,MVR 260.00,scraped_images_veligaa\14774.jpg
14775,"SELLEYS LIQUID NAILS MIRROR, METAL & GLASS 310G",MVR 140.00,scraped_images_veligaa\14775.jpg
14776,SELLEYS LIQUID NAILS FAST GRAB 420G,MVR 105.00,scraped_images_veligaa\14776.jpg
14777,SELLEYS SHOE FIX 50ML CLEAR,MVR 80.00,scraped_images_veligaa\14777.jpg
14782,SELLEYS THE ONE 290ML ADHESIVE,MVR 200.00,scraped_images_veligaa\14782.jpg
14783,SELLEYS NO MORE GAPS FAST DRY 475G,MVR 70.00,scraped_images_veligaa\14783.jpg
16991,YATO INSULATION TAPE,MVR 15.00,scraped_images_veligaa\16991.jpg
00613,BOSNY WALL PUTTY,MVR 30.00,scraped_images_veligaa\00613.jpg
00185,INTERTAPE MASKING TAPE,MVR 15.00,scraped_images_veligaa\00185.jpg
03486,MASKING TAPE,MVR 10.00,scraped_images_veligaa\03486.jpg
13788,APAC/GAZELLE MASKING TAPE 20 YARD,MVR 15.00,scraped_images_veligaa\13788.jpg
13791,APAC/GAZELLE MASKING TAPE 40 YARD,MVR 35.00,scraped_images_veligaa\13791.jpg
03545,DUCT TAPE 2'' INCH x 25 YARD,MVR 35.00,scraped_images_veligaa\03545.jpg
13793,APAC DUCT TAPE 2'' INCH x 20 YARD,MVR 40.00,scraped_images_veligaa\13793.jpg
00195,BROWN TAPE 2'',MVR 10.00,scraped_images_veligaa\00195.jpg
13800,APAC BOPP TAPE 2'',MVR 15.00,scraped_images_veligaa\13800.jpg
01183,3M SCOTCH TAPE 23,MVR 295.00,scraped_images_veligaa\01183.jpg
05257,3M SCOTCH TAPE 88,MVR 460.00,scraped_images_veligaa\05257.jpg
06413,3M SCOTCH TAPE 33,MVR 200.00,scraped_images_veligaa\06413.jpg
08167,DUNLOP ANTI-RUST UNDERSEAL S910/S,MVR 260.00,scraped_images_veligaa\08167.jpg
00903,DUNLOP LP,MVR 25.00,scraped_images_veligaa\00903.jpg
08116,DUNLOP WHITE WOOD GLUE WONDERBOND 3228,MVR 80.00,scraped_images_veligaa\08116.jpg
08610,SILICONE DUNLOP 300G WONDERBOND 88,MVR 85.00,scraped_images_veligaa\08610.jpg
17790,AMIG DUCT TAPE MOD.516,MVR 120.00,scraped_images_veligaa\17790.jpg
05180,SPARKO THREAD LOCKER 10ML,MVR 60.00,scraped_images_veligaa\05180.jpg
19198,SPARKO SUPER NAIL,MVR 30.00,scraped_images_veligaa\19198.jpg
05194,SPARKO SUPER GLUE,MVR 5.00,scraped_images_veligaa\05194.jpg
19192,SPARKO RTV SEALANT 85G,MVR 35.00,scraped_images_veligaa\19192.jpg
19197,SPARKO RTV SEALANT 32G,MVR 20.00,scraped_images_veligaa\19197.jpg
19196,SPARKO RTV SEALANT HI-TEMP RED,MVR 25.00,scraped_images_veligaa\19196.jpg
19208,SPARKO PU FOAM 750ML,MVR 165.00,scraped_images_veligaa\19208.jpg
05164,SPARKO NEUTRAL CURE SILICONE 300ML,MVR 35.00,scraped_images_veligaa\05164.jpg
05167,SPARKO N-199 MILDEW RESISTANCE SILICONE 300ML,MVR 40.00,scraped_images_veligaa\05167.jpg
19199,SPARKO LIQUID GASKET 1101,MVR 25.00,scraped_images_veligaa\19199.jpg
05190,SPARKO ACRYLIC WALL PUTTY 650G,MVR 35.00,scraped_images_veligaa\05190.jpg
05161,SPARKO ACETIC CURE SILICONE 300ML,MVR 60.00,scraped_images_veligaa\05161.jpg
19204,SPARKO A-007 GAP FILLER SEALANT 430G,MVR 35.00,scraped_images_veligaa\19204.jpg
05188,SPARKO 4 MINUTE EPOXY 34ML (A+B),MVR 40.00,scraped_images_veligaa\05188.jpg
06903,SIKAFLEX 291 300ml,MVR 295.00,scraped_images_veligaa\06903.jpg
19343,CROCODILE WALL PUTTY,MVR 125.00,scraped_images_veligaa\19343.jpg
02771,CROCODILE PU FOAM,MVR 80.00,scraped_images_veligaa\02771.jpg
19358,CROCODILE SILICONE ACRYLIC SEAL PLUS,MVR 90.00,scraped_images_veligaa\19358.jpg
19364,CROCODILE SILICONE SEAL,MVR 140.00,scraped_images_veligaa\19364.jpg
19365,CROCODILE SILICONE SEAL N,MVR 90.00,scraped_images_veligaa\19365.jpg
19366,CROCODILE SILICONE SEAL N PLUS,MVR 100.00,scraped_images_veligaa\19366.jpg
19367,CROCODILE SILICONE POLY-U SEAL,MVR 140.00,scraped_images_veligaa\19367.jpg
19369,CROCODILE ADHESIVE NAIL,MVR 175.00,scraped_images_veligaa\19369.jpg
19370,CROCODILE ADHESIVE QUICK,MVR 165.00,scraped_images_veligaa\19370.jpg
19371,CROCODILE SILICONE ACRYLIC SEAL GATOR,MVR 30.00,scraped_images_veligaa\19371.jpg
06094,APAC DOUBLE SIDE FOAM TAPE BLACK,MVR 35.00,scraped_images_veligaa\06094.jpg
13799,APAC/GAZELLE BOPP TAPE CLEAR,MVR 15.00,scraped_images_veligaa\13799.jpg
08080,FEVICOL WHITE GLUE,MVR 190.00,scraped_images_veligaa\08080.jpg
03743,WHITE WOOD GLUE WOODFIX 500G,MVR 50.00,scraped_images_veligaa\03743.jpg
00196,CLEAR TAPE 2'',MVR 10.00,scraped_images_veligaa\00196.jpg
18719,CROCODILE TILE CEMENT 20KG GREEN,MVR 245.00,scraped_images_veligaa\18719.jpg
06769,SELLEYS WALL PUTTY 500G,MVR 35.00,scraped_images_veligaa\06769.jpg
02119,WALL PUTTY SHEETROCK,MVR 190.00,scraped_images_veligaa\02119.jpg
05172,V-TECH PVC GLUE,MVR 35.00,scraped_images_veligaa\05172.jpg
02497,V-TECH WOOD PUTTY 500G,MVR 70.00,scraped_images_veligaa\02497.jpg
18713,GYPSUM JOINT PAPER TAPE USG BORAL,MVR 140.00,scraped_images_veligaa\18713.jpg
01377,GYPSUM JOINT FIBERTAPE,MVR 90.00,scraped_images_veligaa\01377.jpg
13798,APAC/GAZELLE BINDING DUCT TAPE,MVR 100.00,scraped_images_veligaa\13798.jpg
13802,APAC/GAZELLE BOPP TAPE 2'' x 100Y BROWN,MVR 40.00,scraped_images_veligaa\13802.jpg
05189,YATO 5 MINUTE EPOXY SET 100G YT-36820,MVR 60.00,scraped_images_veligaa\05189.jpg
20294,SELLEYS NO MORE GAPS 450G,MVR 110.00,scraped_images_veligaa\20294.jpg
20299,SELLEYS ALL FIX MULTIPURPOSE GLUE 80G + SUPA GLUE 2G,MVR 55.00,scraped_images_veligaa\20299.jpg
20301,SELLEYS EPOXY FIX SUPER FAST 15ML,MVR 75.00,scraped_images_veligaa\20301.jpg
20302,SELLEYS KWIK GRIP 50ML,MVR 85.00,scraped_images_veligaa\20302.jpg
20303,SELLEYS PLASTIC WOOD 50G,MVR 80.00,scraped_images_veligaa\20303.jpg
20304,SELLEYS SUPA GLUE SHOCK PROOF 3ML,MVR 30.00,scraped_images_veligaa\20304.jpg
20305,SELLEYS SUPA GLUE STRONG & ADJUSTABLE 3G,MVR 35.00,scraped_images_veligaa\20305.jpg
20306,SELLEYS SUPA GLUE TWIN PACK 2X2G,MVR 25.00,scraped_images_veligaa\20306.jpg
20307,SELLEYS SUPA GLUE TWIN PACK 2X3ML,MVR 60.00,scraped_images_veligaa\20307.jpg
20309,SELLEYS WET AREA WHITE 75G,MVR 90.00,scraped_images_veligaa\20309.jpg
20320,SELLEYS SILICONE SEALANT GP S301 300G GREY,MVR 85.00,scraped_images_veligaa\20320.jpg
05177,DB CONTACT ADHESIVE,MVR 105.00,scraped_images_veligaa\05177.jpg
09512,3M SCOTCHCAST KIT 82-A1,MVR 1570.00,scraped_images_veligaa\09512.jpg
21052,DUPRO PVC TAPE FOR AC 2 INCH,MVR 60.00,scraped_images_veligaa\21052.jpg
07862,P S-LON PVC PIPE CEMENT 500ML,MVR 85.00,scraped_images_veligaa\07862.jpg
02552,TYPE99 LP CONTACT ADHESIVE,MVR 15.00,scraped_images_veligaa\02552.jpg
01303,HIGH PRESSURE PIPE CEMENT PVC H/D PIPE WELD,MVR 40.00,scraped_images_veligaa\01303.jpg
04178,GAP SEAL TAPE 2'' X 10M FLASHBAND WATERTIGHT,MVR 235.00,scraped_images_veligaa\04178.jpg
20958,SPARKO E-104 HI-TECH SILICONE 300ML CLEAR,MVR 30.00,scraped_images_veligaa\20958.jpg
20959,SPARKO E-104 HI-TECH SILICONE 300ML WHITE,MVR 30.00,scraped_images_veligaa\20959.jpg
22341,WEICON REPAIR STICK AQUA,MVR 175.00,scraped_images_veligaa\22341.jpg
22344,WEICON REPAIR STICK PLASTIC,MVR 135.00,scraped_images_veligaa\22344.jpg
22346,WEICON REPAIR STICK STAINLESS STEEL 57G,MVR 135.00,scraped_images_veligaa\22346.jpg
22348,WEICON REPAIR STICK STEEL,MVR 135.00,scraped_images_veligaa\22348.jpg
22349,WEICON EPOXY MINUTE ADHESIVE 24ML,MVR 130.00,scraped_images_veligaa\22349.jpg
